,amazon_tweets
168,"The 750g is all I want it's super fast
@amazonIN @SamsungIndia #FastestMonster #M42 #GalaxyM42 https://t.co/hxkE8pUeeL"
169,"[Pre-order now] Mi 11X Pro with SD 888 starting ₹39,999 available on #amazonIN https://t.co/DRJGFigVUP

Upto ₹4,000… https://t.co/wEj1MqUFaq"
170,"My favourite features of samsung M42 is it's Processor Qualcomm Snapdragon 750G
#FastestMonster @amazonIN… https://t.co/GlFf31QkTC"
171,"My favourite feature:- everything about this phone but specially security is important So,
Knox security :perfect s… https://t.co/sz5Xp5Rhnc"
172,I like all these features of Samsung M42 5G #FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/8UYp6xUXLq
173,Ordered a carrom board and received these 12 gram torn cardboard pieces. @amazonIN #amazon #amazonprime @Poorva2411… https://t.co/JyVCQzPDAB
174,My Fav. Feature Snapdragon 750G 5G on samsung @ 20k price range with sAmoled . Lets Hunt the Monster on 1st May 202… https://t.co/ecERTeXIqD
175,"#AmazonFunzoneSlots
@amazonIN

Tagging @deepalidamani @sd12dec @sarikag77 @Moliin4u @PinkyDholakia @blessedkamal… https://t.co/bcEYP1mIW8"
176,"#FastestMonster #SamsungM42 
@amazonIN @SamsungIndia 
Hope i win this and experience it please 🙏🏻 https://t.co/7pKHOtEKYA"
177,Again poor service by @amazonIN
178,"Here's all New #GalaxyM42 5G with 
sAMOLED &amp; 5G ready running on @Qualcomm 750G , exclusive available on @amazonIN… https://t.co/xDNoO7HpRQ"
179,"Tell me wich one was correct?? If 4 th option was correct they why ""only"" the on first two??? In credit card quiz!!… https://t.co/XAsa3R6LPK"
180,Reason no 1542 of why our #COVID19 cases are so high: @amazonIN delivery exec shows up with mask below his mouth. W… https://t.co/XOIKxFUYgY
181,"#fastestmonster #SamsungM42 @amazonIN @SamsungIndia 
Samsung M42 5G I like all its features but the feature I like… https://t.co/1m49JuPjsH"
182,#fastestmonster @amazonIN @SamsungIndia Eager to friend this monster 👹👹👹❤️❤️❤️ #SamsungM42 https://t.co/JbpEBFr9Er
183,I use a lot of online payments so these two are the best features of this phone #FastestMonster @amazonIN… https://t.co/5pcBz8i18z
184,"Dear amazon team ,
How much time it will required you to delivery an order which is  to be delivered on 22april but… https://t.co/VkE8YDxPWc"
185,"My Favourite Feature
#FastestMonster, @amazonIN and @SamsungIndia #SamsungM42. https://t.co/CKv1XgYYFF"
186,"REALME Q3i Blueprint - Rinse And Repeat.
Please Follow to staay Updated.
https://t.co/chmimRgC4Z
#realme #Realmeq3… https://t.co/n29xzQl0ZQ"
187,I had ordered few items from Amazon. And it is highly disgusting to see the delivery agents handling the products i… https://t.co/kEocbWAdQy
188,"I did not expect samsung pay on m series 😍😍😍
I did not expect secure foldersl ,altz and Knox security on m series… https://t.co/9szSqXJgRQ"
189,"Thanks @amazonIN , i urge you to release an advisory in this regard publicly. The conman is proudly claiming he foo… https://t.co/cgAggifNQO"
190,Worst service from @amazonIN @amazon . Taking more than 1 and half months for delivering an iPad? Horrible!!! When… https://t.co/2nRQWPcMOv
191,"The sleek design is all I crave for. Been using SAMSUNG M31 but I feel that this is the beast ! 😍
@amazonIN… https://t.co/FxLRDqd5MA"
192,"#FastestMonster 
Monster-Fast PERFORMANCE ⚡
#SamsungM42  @amazonIN  @SamsungIndia https://t.co/if4aTLeYX8"
193,"I like optimized one UI &amp; SD 750G powerful soc.
In this social media life we all need security like Knox security h… https://t.co/A174TOmp6N"
194,"Great! Awesome security safety features and Monster performance Qualcomm 750 5G Chip
#FastestMonster @amazonIN… https://t.co/oO0U4OKy5e"
195,"Give me all of that and it's the perfect phone for me!! Awesome stuff coming in from Samsung. 
#FastestMonster… https://t.co/lqIcLU0Z50"
196,"#FastestMonster @amazonIN @SamsungIndia  #SamsungM42
Monster-Fast CLICKS. https://t.co/YRcViEaBeo"
197,"It's Pathetic service of @ICICIBank @ICICIBank_Care phone banking . I have tried to call and get help since 3hrs ,… https://t.co/nORs6UoG79"
198,Hey Here's India's Fastest Monster with Big Boost Battery @amazonIN @SamsungIndia #SamsungM42 @FastestMonster… https://t.co/Vk6iAt2R5x
199,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 
Like a beast.... Excited to buy Snapdragon 750 with samsung 👍👍… https://t.co/OevlW5nGvP"
200,Dear @amazonIN @amazon there is a con man trying to fool people in the name of Amazon prize offering prize money or… https://t.co/gSmhRiAdRI
201,"#FastestMonster 
@amazonIN 
@SamsungIndia 
I like samsung phones a lot but I never afford because of my condition h… https://t.co/rdnOKQRmnw"
202,"These two are my favorite features in Samsung Galaxy M42 @amazonIN @SamsungIndia  
#SamsungM42 #FastestMonster https://t.co/nROKFmNCaX"
203,"Power packed performance
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/AyWbDMIUeO"
204,"Waiting....... 
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/gdEqXWAldn"
205,"#FastestMonster #SamsungM42 
@amazonIN @SamsungIndia 
I want to win this phone I'm just in love with it loved the s… https://t.co/DdvCNmU67M"
206,"#FastestMonster #SamsungM42 
Best smartphone going to launch today at @amazonIN by none other than @SamsungIndia.
1… https://t.co/k85b9jKjqU"
207,"Tried @getsimpl today.Awesome exp.Hope to use it soon on @Uber_India, @amazonIN, @myntra and @dominos_india  #KeepItSimpl"
208,"My most favourite features of #SamsungM42 #FastestMonster 😍😍
.
.
@amazonIN @SamsungIndia https://t.co/kz6umYTUWf"
209,"Samsung M42 5G
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/Dn3FR2yXxu"
210,"#GalaxyM42_5g
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  
@SamsungIndia @amazonIN https://t.co/yLPyY1UgIe"
211,Thank You @amazonIN @amazon https://t.co/hBKVjdiY8m
212,"#CreditCardBillQuiz
@amazon 
@amazonIN 
Credit card Bill quiz https://t.co/6Qx3jkbHss"
213,"WHY is .@amazonIN suggesting me a movie of anti-national sicko

.@FarOutAkhtar https://t.co/A1e7rsZnht"
